text,0,1,2,3,4
"Fake. Low quality printing, cutting and sticking of labels. Nagtiwala ako sa shop na to kasi legit acct ni Nivea, matagal na din ako suki nitong shop nato, dami ko na naorder na lotions at deodorant. Itong lotion na ito tlga ay kakaiba, kakaduda ang item na pinadala, parang paninda lang sa bangketa. Sorry Nivea bibigyan kita mababang rating. Ayaw ko itry ang product at irisk ang balat kong sensutive dahil umpisa pa nga lang duda na akong fake ito, baka mairriritate. Nagrequest ako return refund, una declined, nag- agree naman sila sa 2nd request ko. Kaso ang hirap magbalik ng item kasi need ko pa idrop sa j& t drop off point e wala sa malapit sa amin. Ayun, hanggang sa ncancel na ag refund request kasi di ko nabalik. Hassle na magorder sa shopee specially sa lugar namin sa Batangas dahil halos wala na sila ng riders kaya kapag may order e kami pa kukuha kung asan sila, madalas malayo samin at eto nga kapag need ireturn ang item, super kakastress kasi wala na rider na pipickup ng return item, ikaw na mismo magpapadeliver sa seller. used this for a week dahil nanghinayang ako sa 600. Naging super dry ng balat ko parang balat ng 1week naglalaba) tapos parang nasusunog. makati sa balat. Nagkakaroon ng tiny bumps na may tubig tubig na makati tapos pag napisa ay mahapdi. Lalo tuloy pumanget balat ko. So fake talaga. Salamat sa NIVEA, nagkaPHOBIA ako sa mga official stores sa shopee kasi kahit pala OFFICIAL STORES e nahahaluan parin ng PEKE.",1,0,0,0,0
Okay naman pero di ko bet yung quality ng resolution.,0,0,0,1,0
Maaga na iship at deliver. Manipis lang yung product.,0,0,0,1,0
Poor packaging… Puno ng gasgas yung mga clear claw clips buti na lang di naman sila nadamage gaano aside from the scratches.,0,0,1,0,0
Maganda naman po sya kaso di sya ganung kalakas medjo may prob den sa tunog ng mic nya diko sure if diba compatible yung mic minsan. May prob den sya sa tunog nawawala naman ewann ko. oang ilang order kona sa shop neto dito lang po medjo may problem hirap naman If ibabali kopa.,0,0,0,1,0
"Just got mine. Ang ganda ng tshirt at tela sulit ang bayad. The only problem is the size not accurate. I ordered 4pcs tshirt at ang lalaki sakin. Iba iba ang length nya, I ordered M size pero para na syang L- XL, iba iba length hindi fix tulad ng nass chart.",0,0,1,0,0
"I love the color! OK yung packaging, secured. Nag- send pa si seller ng pic nung package bago I- send. Sana matibay at magtagal. OK din yung sound nya.",0,0,0,0,1
High quality pero the problem is manipis yung sa gilid dapat na ingatan talaga but maganda,0,0,0,1,0
Okay naman lahat yung order ko walang kulang at walang damage sakto lang din naman yung order ko di siya ganon kalaki di sin ganon kaliit,0,0,0,0,1
Ok na sana sya from color to the material kaso maliit sya pang 10 years old lang kung tutuusin,0,0,0,1,0
Pag open ko basa sia. Cguro nagleak while Tina transport. At naerase yong expiry date. I still believe na matagal patong mag expire. 1st time kong gagamitin ang deo nla and i don' t really use deo dahil lalong umiitim kilikili ko. I' ll try it kasi magaganda ang reviews at nakakaputi daw.,0,0,0,0,1
"Parang kasalanan ko pang 1 item lang inorder ko kaya nayupi, Kung pwede naman ayusin yung packaging. Pang regalo sana kaso wala di rin nGamit. Waste of money and time. Mali ko rin kasi di ako nagbasa ng description. Magbasa kayo ng description para di niyo maranasan.",1,0,0,0,0
very secured pero may dents yung ibang books and again ang tagal na ship,0,0,0,1,0
hehe thanks wala nga kang freebies but its okay nakuha ko naman sya ng sale,0,0,0,0,1
Ang Ganda nya at water proof talaga sya and then matagal mawala ket kunti lang lagay pwede Rin sya pang blush on Kasi easy to blend lng sya hehehe I love this product so much,0,0,0,0,1
Okay lang po siya. ang mali ko lang po ay rolling pin lang napindot ko at di nasali yung mat. salamat pa din po seller. I' ll order again na may mat na. hehehe,0,0,0,1,0
Gasgas nman ung sa lens nya kaya malabo sabagay what do you expect sa murang mabibili,1,0,0,0,0
"Kakadisappoint, dami ko inorder kasi akala ko cadbury sya. Lasang nips lang pala. Mas masarap pa ang other local chocolates. Packaging lang pala cadbury. Lasang hindi na uulit. Won’ t buy again. Hindi sya masarap.",0,1,0,0,0
190 pcs po lahat binilang ko maganda po quality niya thank you,0,0,0,0,1
3 stars po muna kasi pagdating po ng item is parang mababali napo siya kaya un po nastock lng pero yung ibang item na bili ko sa shop na ito ay matibay po,0,0,1,0,0
"Photos and video not related! Nakaka badtrip ka, super tagal mag check out nag request ako na pa change address di manlang pumayag, nag try ako cancel para ma change address, hindi rin! Bwesit! hindi tuloy ako ang nakinabang bayad na yon thru shopee pay, nakakahiya naman na wag e receive at nakakaawa ang rider",1,0,0,0,0
"Ok naman yung design maganda sakto lang din ang tela hindi manipis, nakakadismaya kasi may na putol akong part because daming extra threads kainis. First time ko pa naman mag order dito kaso hindi maayos dumating sa' kin lol Tignan muna kasi maigi kung ok ba yung damit",0,0,1,0,0
"Umay sa seller, porket napindot ko na yung receive di nq nila papalitan yung panget nilang item. Hindi ko na talaga to oorderan, pabago bago pa ng price mga manloloko",1,0,0,0,0
"Akala ko mag dadry siya sa lips kase matte yung naka lagay pero hindi pala. Anw, okay lang naman siya. 89 lang din naman binayad ko. Maganda din yung shade, bet ko. Ganda ng packaging. Thank you po!",0,0,0,0,1
Sa alarm clock at dito sa lights ko nilagay— may basa sya pag ubos na or pagmahina na ang battery. I think hindi to geniune na eveready battery.,0,0,1,0,0
"Honest review, akala ko makapal odi kaya sakto lang pero manipis pala. Parang yung binibinta lang sa sidewalk, pakapalin mo lang ng light yung sa sidewalk, very light lang ganun ang quality nya. When it comes sa price lugi ka kung itong bibilhin mo, mas maganda pa yung quality ng korean ankle shocks na makikita sa ibang stores which is mas mura din ata dito.",0,1,0,0,0
"Excitement turned to disappointment kulang kulang orders, nasend na Yung proof andami pa hinihingi will not order again!",1,0,0,0,0
Ito pinaka naiinisan kung items sobrang tagal n ship halos 2 weeks putek ND nko uulit sa pag order dito Mali pa pinadalang kulay order ko khaki pinadala brown saan utak Ng seller,1,0,0,0,0
Ang order ko 2 dark gray L bkit ang dumating light gray na S pano masusuot ng asawa ko toh!,1,0,0,0,0
"Ordered from 12/ 12 Dec 1 na nakarating. So far wala naman naging problema, mabilis lumamig.",0,0,0,1,0
"Mali lahat, nagchat nmn ako kay seller about sa size, color, design, kaso mali lahat",0,1,0,0,0
Excellent quality Well- packagedlOk yong item but they are not so accommodating sa mga buyer or siguro may pinipili lang. subrang tgal nila ishipped yong item kung di ka pa magrereklamo sabi 2- 3 days daw nung gusto ko na icancell yong order ko saka pa sila nag update Seller not responsive,0,1,0,0,0
Medyo sira lang kung box nya pagdating pero ok naman mabilis yung delivery.,0,0,0,1,0
Mga t4ng4 at b0b0 ang mga nagbebenta dto dko alam kung marunong ba silang magbasa or color blind lng light blue yung order ko pero white black yung dumating hahaha.,1,0,0,0,0
Maganda at walang basag. Salamat ng marami order ulit ako next time.,0,0,0,0,1
Double ang fish sauce nawala ung soy sauce! Pero maganda ang items 5 star un nga lang mali lang label nung isa. and Wala pala ung free funnel now ko lang naalala bung makita ko ulet u ng shop boy.,0,1,0,0,0
Madaling masira ang tape. Nasasayang lang kasi tinatapon nalang hindi naman magagamit,0,1,0,0,0
Dumating na may dent yung speaker tapos 2 days pa lang hindi na gumana yung right speaker.,1,0,0,0,0
"I' m happy for their service, I' m just bit disappointed sa quality na mukhang masisira sya agad but hope na magtagal po sya.",0,1,0,0,0
Tama ang kulay pero mali ang item. ang layo s picture n order ko. nakakalungkot.,1,0,0,0,0
"Ok ung product. Maganda, pero malaki ung size na nabili ko. Kaya di ko rin magagamit",0,0,1,0,0
"Sensitive ba ako o tama lang n masaktan ako kase di ako nabanggit ng tatay ko as anak nya nung pinapakilala niya mga anak nya sa bisita namin? Si kuya, dikong, ate, hindi ako binanggit, bunso na agad. Ang sakit lang kasi orange n orange p buhok ko non kitangkita ko tas di nya npansin n andun ako",0,0,0,0,1
Not water proof and nabalik yung stick sa loob kaya mahirap sya magamitin.,0,0,1,0,0
"maganda sana, kaso sobrang laki naman sakin. pang plussize ata tong binigay sakin. diko ini expect ganito kalaki kasi nakalagay small to large parang xxl naman to",0,1,0,0,0
one light is working. dumating yung parcel matagal at yupi ang box. anyway meron parin sounds kahit mahina. ayoko na umorder.,0,1,0,0,0
"3days Lang dumating na hihi galing Ganda netong phone nato tas ang mura pa, mura ko talaga sya nakuha Kasi dami Kong voucher hihi. Next time order ulit ako",0,0,0,0,1
Mali ung pinadalang design. Spiderman dapat diba! Bakit yan. Abala pa kung irereturn. Sana kinansel na lang ung order ko. Or ininform man lang ako ng seller pero hindi. Such a disappointment!,1,0,0,0,0
Pagdating sa parcel ti na try ko agad malakas nmn cya kaso mayamaya mamamatay cya ewan. tas sa tabi ng red signal light may kaunting sira yung may nakalagay na IR Ok nmn ang mic ok pangvideoki may kaunting disappointment lng ako sa product natu. cgru nasira dahil sa pagtatravel Edited: after ilang days sira na tlaga cya. haist sayang,0,0,1,0,0
Good Yung item pero Hindi nag ka sundo un seller at me 2 item order ko I ask na Sana mag ka Iba ng color Ang gusto ng seller mag click ako ulit At Yung color na click ko is pink Hindi pwd 2 Isa Lang choice ng color Kapag inulit ko un order ko double na po Ang babayaran ko correct me if I' m wrong,0,1,0,0,0
Thank u po super ganda po gift q s mister ko nagustohan dn nia tuwangtuwa cia nextime belt naman,0,0,0,0,1
"I’ m not mad whatsoever I' m just disappointed, basahin nyo nalang nasa pic",1,0,0,0,0
"Kulang ng isa yung order ko. Messaged seller, di na ngseen.",0,0,1,0,0
Okay Naman complete 100pcs Isa lang nagkaproblema pero nagawan ko naman agad Ng paraan Good packaging safe Yun items Thank you,0,0,0,1,0
Kaso nag spill yung laman niya pag bukas ko ng parcel:,0,0,1,0,0
Ok na ok kaso bat tinanggal nyo yung freebies lalo na sa aming regular buyer nyo.,0,0,0,0,1
Expectations vs reality Akala ko cotton kc sa picture ang ganda. Ang tela parang payong na manipis pala.,0,0,1,0,0
maganda design kaso sobrang nipis lng pala ng tela lalo na bedseet,0,1,0,0,0
Daming natapon pati sa bubble wrap sayang parehas n item madaling matangal mbuksan ang takip kaya cguro madali dn matapon.,0,0,1,0,0
Mendyo ngongo LNG po ung sound sa videoke nya peo ok nren,0,0,1,0,0
I' ve been using this product ever since so this is my nth time ordering in this shop. First time ko naka recieve ng ganto pumutok yung isang lotiong dahil may sira yung takip. Sobrang sikip kasi nung pagkaka package. Mabuti di talag naubos yung laman may kunti naman natira. Salamat sa freebie,0,0,1,0,0
Elegant yung design n' ya. Lakas makasosyal may part lang n' yan na medyo numipis o parang mabubutas na sana napansin ni seller para naman wala as in damage ang masesend sa buyer.,0,1,0,0,0
"Edit ko yung rating kasi yung isang dispenser 1 used lang hindi na ma charge one used disposable talaga,",1,0,0,0,0
Ambilis na delivery. Sakto need ko talaga kasi ubos na yung ganto ko after 3 mos.,0,0,0,0,1
Wag kayong oorder pag may voucher kasi may defect pinapadala nila ang ganda pa naman sana. Gumagalaw yung sa nose pad. Nakakaloka. Ayaw mag refund ng kahit magkano. Kinakausap. namn ng maayos,1,0,0,0,0
omg so ganda nung story must read lalo na sa may mga abusive partners. okay naman sya nung dumating sakin and walang problem,0,0,0,0,1
Manipis yun papel. Walang core sa gitna kaya yun yun last part di na magamet kase wala na kakapitan,0,0,1,0,0
"Good quality Mabait ang seller Mabait ang rider Gwapo ang buyer Good packaging Working ang ref, walang damage si brenda lang meron highly recommended 2 days na namin ginagamit. Maraming salamat CHiQ PH.",0,0,0,0,1
Disappointed ako ng sobraa kala ko maganda ang liit tapos ang papayat pa pano ko maikakabit ang baloons ko hays,0,1,0,0,0
"Ganda nito I swear though isa lang nabili sulit naman sya and Ang cute nito, bagay sa kulay ng lips ko. Thank you seller",0,0,0,0,1
"For two bottles, terrible ang packaging, sobrang kapal ng bubble wrap see photo) Thumbs down. Yung bottles mismo, maluwag ang cap, me dumi pa sa loob yung isa.",1,0,0,0,0
"Mali ang pinadala, 1 black and 1 gray ang order ko gray pareho ang dumating, Maliit dn ang XXL parang medium lang. Nakakadismaya! Pero thanks pa dn sa ngdilever subrang bait tlgang hinahatid mismo sa bahay kahit hnd pwdeng dalhin ung motor sa loob.",0,1,0,0,0
"four stars lang kasi iba yung dumating na design sa inorder ko, medyo di din maayos yung print pero okay naman sya, di lang talaga to yung inexpect ko hehe thank you pa din po",0,0,0,1,0
Salamat at dumating na dn ang order ko. worthy naman kasi affordable ang price. kaso nga lang nagleak ung vaseline.,0,0,0,1,0
Jk5 na order ko. Ang liit lang pala nito. Pang bahay lang. Parang hindi pwedeng pang bakbakan sa palengke ng karnihan.,0,0,1,0,0
Ang pangit ng pants tsaka same lang ng kulay. Subrang nipis pa mas makapal pa yung pants sa skwelahan,1,0,0,0,0
Thank you maganda hindi siya mainit sa katawan. tela good din,0,0,0,1,0
"Good Quality, Well packaged, very affordable naman din, ingat lang sa pagbukas dun sa kabila, kasi tinitwist pala, hindi siya gaya ballpen na binubunot lang. Perfect pang highlight sa ebooks or sa pdf files yung soft part, yung kabilang dulo.",0,0,0,1,0
"Okay sana, mabilis dumating and walang damage, kaso green order ko blue dumating, color blind ata nagpick nito. Sana pala black nalang inorder ko",0,0,1,0,0
Ayun light gray order ko. black binigay. tenkyu galing eh,0,1,0,0,0
"Ok naman yung iba pero yung template nayupi yupi sya, importante pa nmn na straight yan, sana next time pakiayos naman yung pg pack, paki box kung kailangan, kasi hindi naman libre ang binibili, nakakadis- appoint naman",0,1,0,0,0
okay sana yung product eh kaso yung packaging ang problem. hoping next time ay icarton man lang nila para di malukot yung mismong item.,0,0,0,1,0
"im so disappointed cause i thought makakamura ako buying here dahil nga naka sale sya, and i also thought may free siya kasi may nakalagay sa picture soap plus cream ata yun. imbis na makamura ako, napamura nalang ako 95 sa 7/ 11 yung soap. tas naka sale sya ng 83, at dahil akala ko may free na cream kaya bumili ako kahit walang freeshipping. yun lang, akala ko lang may free cream din. sad. .",0,0,1,0,0
Order na kayo Dito subrang tibay Niya at Ang Ganda Niya pa thank you seller at kay Kuya raider,0,0,0,0,1
Okay nmn sya lalo na yung stamp nakaktulong kaso hindi sa long lasting pagka lagay mo napawisan ka lng unti wala na di sya water proof.,0,0,1,0,0
The other items was okay but the t9 box is disappointing. Im gonna used it for gift sana pero parang used box na. Isa na nga lang inorder ko ang panget pa ng pinadala. Obvious naman na hindi dahil sa shipment handling since yung cover may folds na e nakaflat naman siya pagship together w other items,0,1,0,0,0
"Pics and vid are not related for coins lang. Maganda naman siya, baliktad nga lang yung sa clip na hindi naman usually ganon kaya minsan hindi maayos, pero goods naman nagagamit ko naman maayos.",0,0,0,1,0
I order it september 29 pero nakuha ko din siya within 2days ang bilis lang expected ko by next week pa. Kudos din kay kuyang nagdeliever ang bait:,0,0,0,0,1
Maganda po yun item. Pero ganito ba tlga may pagkamalabo sya kahit pinunasan ko na,0,0,1,0,0
Marikit ang gawa di maganda pangit ang tahi mukhang minadali na ewan okey lang ung kulay pero ung ayos at dating niya hindi naayon,0,0,1,0,0
Thank suki nko ni seller ibat iba inoorder ko. Kc trusted kuna sya at lagi sya nag update or nagpicture ng order mu bgo magship. Kya ulit ulit lng ko ng order kung anu mtipuhan ko. Salamat btw.,0,0,0,0,1
"I was ordered tiger balm. Then kanina ito yung dumating sakin, Aloe Vera, Eye Brow Shaver/ Razor at Bath Scrub. Aanhin ko yun? Hindi naman yun yung order ko. Hindi rin nagrereply yung seller. Sa mga buyer dyan. COD po always ang payment nyo. Wag nyo bayaran if sa tingin nyo hindi yun ang inorder nyo.",1,0,0,0,0
Ok Sana maganda pero maliit ang size Size 39 inorder mo para Sana mas malaki kunti pero shutteeyyy parang size 6- 6. 5 Lang,1,0,0,0,0
"Bumili dahil sa sale! Sana parating may sale please! Good for itchy, dry skin.",0,0,0,0,1
Okey sana yong product pero nagleak sa lalagyan nang dumating. Sana next time i- wrap ng scotch tape ung lid ng bottle.,0,0,0,1,0
Maganda yun product pero yun driver masungit nakasimangot siya sa amin hindi ko alam bkit ganto na mga driver sa shopee sana mabago yun attitude nitong nagdeliver sa amin,0,0,1,0,0
maganda lang sya sa picture tingnan pero pag sa personal pangit pala parang nag patahi ka lang at ang nipis ng tela.,0,1,0,0,0
Perfect! May protection n aeyes ng mga anak ko thank u po,0,0,0,0,1
Cutiee ng kulay ng mga correction tape. Pastel colors What you see is what you get. Maayos pagkakapack. Gumagana naman nung tinry ko.,0,0,0,0,1
pangit sya sobrang nipis tapos may sira hilahin mo lang konti mapupunit agad tapos ayaw pa mag reply ni seller wag kayong oorder sayang lang pera nyo sobrang rupok kaya mura lang,1,0,0,0,0
sorry pero hindi kagaya nang design picture. anlayo sa ine expect ko,0,0,1,0,0
Thank you mabilis lang sya dumating halos 2weeks lang sya ata eh thanks din sa rider,0,0,0,1,0
May leak na naman! Ang tagal- tagal bago i- ship tapos may tagas lang ang ibibigay. Mga reject yata tong sini- ship nyo na deo eh!,1,0,0,0,0
"ang angas niya tsaka maayos ang packaging, mukha siyang pang office at pang professional, nagdoubt pa ako nung una kung maayos ba pero okay na okay naman",0,0,0,0,1
Maganda yung item kaso hindi responsive si seller tapos 6 days bago na ship yung order ko.,0,1,0,0,0
"So disappointed Mali ang isang kulay ng order ko, dapat gray yun, bakit black Ang andito. nakaka inis. pagka ganun na wla yung available na kulay ng order namin, paki inform naman Sana hindi yung nagmama runong kayo sa pagdesisyon ng kulay maka benta lang. badtrip",0,1,0,0,0
Maganda sana pero mali yung size ng comforter nabigay sakin medyo maliit po.,0,0,1,0,0
Hindi waterproof tulad ng nasa description and mabilis mag smudge ingat nalang mga bhe sa paglalagay tnx seller,0,0,0,1,0
Basag yung isang bokilya hindi ko nalang i r- return dahil hindi ko naman na video nung binuksan ko. The rest is okay naman. Paki improve nalang ng packaging.,0,0,1,0,0
"okie siya, tama po color and oks lang po! Pero parang may dumi po ng onti after ko I- wash sila. pero ok naman po lahat.",0,0,0,1,0
Walang resibo pag bibili ka dito yun agad hinanap ko wala e. Pero legit bnew and original,0,0,1,0,0
OK nman po nka wrap ng maayos mejo dissapounted lng lng kasi wala cia sa box tpos maliit. Png regalo ko sana kaso walang box nka bubble wrap lng,0,0,0,0,1
sorry photo and video not related pero maganda siya super pigmented di nabubura agad di din nagbbleed pero grabe sobrang sobra talaga yung tagal ng shipping nakakabwisit,0,1,0,0,0
di man lang inayos ng courier grabi naglabasan ang lotion sayang pera ko sana next time paki bubble wrap naman po ang laking lugi sa negosyo,0,0,1,0,0
IBANG COLOR NA RECEIVE KOKELAN KAYA NAGING GOLD ANG SILVER HAHAHA OVERALL AYOS NAMAN PERO SANA YUNG COLOR PAKI AYOS HEHEH HAY,1,0,0,0,0
"Maganda nmn sya, kaya hindi sya waterproof Sabi Kasi waterproof sya, pero ok na din nandito nato",0,0,1,0,0
Order ko Dark Gray dumating Light Gray. Puro na light gray pants ko. Awit sainyo. Sana dapat kung ano yong kulay na inorder sainyo sana yon din ang ibigay niyo.,0,1,0,0,0
Maganda naman yung products kaso nakakaasar lang kase lahat ng pinala medium. Sana next time check nyo mabuti bago nyo I ship out yung products nyo.,0,1,0,0,0
"Ok lng nmn sya, kaso ambalis nyq lng maputol or di lng talaga aq marunong gumamit pero ok maganda",0,0,0,1,0
"Super worth it ng price, akala ko hindi siya gagana sa induction namin, meron kasing isa na branded pero hindi gumana. Pero ito lahat gumagana!",0,0,0,0,1
Items arrived in good condition and complete! Ang bilis rin naship kaya nareceive ko agad. Nabili ko to ng payday sale kaya medyo mure. Thank you po,0,0,0,0,1
Good. Mabilis ang delivery. Kaso malaki lng sya. pwd sya sa medyo chubby,0,0,1,0,0
Ganda! Kaso kala ko bluetooth haha! Di ko pala nabasa. Pero all in all maganda tunog. Wala me prob sa packaging and all. Thanks po!,0,0,0,0,1
thank u po seller! 12. 12 ko sya inorder 12. 15 dumating ang bilis ng ship Godbless po sa uulitin! maganda sya makapal din kahit mali kulay okay naman naaa. Tnx!,0,0,0,0,1
"i looooveee itttt! both ends work plus parang classy lang tingnan, medy uncomfy ako sa may pen pero maganda naman hkskhk",0,0,0,1,0
Maganda. Mabilis din delivery. Legit! Bili na kayo. Maganda. Mabilis din delivery. Legit! Bili na kayo. Maganda. Mabilis din delivery. Legit! Bili na kayo. Maganda. Mabilis din delivery. Legit! Bili na kayo. Maganda. Mabilis din delivery. Legit! Bili na kayo.,0,0,0,0,1
Super liit lang pala ang laki nya sa picture parang senorita lang sya but thanks sana d mabilis mawala un usage nyA thanks seller,0,0,1,0,0
Maganda yung color pero hindi totoo na water proof and transfer proof. After kumain madali matanggal and also kailangan pa yata maka ilang pahid bago makita yung kulay,0,0,0,1,0
Sinoli ko kc yung 2nd door nag yeyelo at yung freezer konti ung yelo kaso sabi ng supplier in good condition daw kya no choice ako kya ginamit ko na lng.,0,0,1,0,0
"Ang layo niya sa pic and dun sa mga ratings nila, I think mali na deliver niyo sa' kin and pati ba naman color mali tapos ang tagal pa nag hintay lang sa ganon.",0,0,1,0,0
Manage your expectations kasi printed ebook lang to pero maganda at pantay naman yung pagkaka- print. Medyo manipis yung pages. May konting dents pero tolerable naman.,0,0,0,1,0
Kakadismaya sayang ganda ng spec may mga bug at issue sa phone wag nyo na bilhin,1,0,0,0,0
"Almost two weeks bago maship ng seller. Maganda yung items, pero sobrang tagal ng pgshiship. Hindi ako iupdate ni seller. Anyways. Thanks Maganda yung item tho",0,1,0,0,0
Ok sana kaya lang wala yung free bundle kaya di ako natuwa excited pa naman ako,1,0,0,0,0
Ok nman ung product khit d sya long lasting. ok na rin for everyday use satify customer parin nmn.,0,0,0,0,1
Kulang ng stud yung shades. I ordered 3glasses at once ok naman yun iba. In fairness seller offered voucher naman to compensate kaso di ko magagamit dahil kakabili ko lang. Sana lang Po paki double check next time before isend Yung item. Wala kahit saan s box o plastic un missing part.,0,0,0,1,0
Got it last 12. 12 sale kaya super nakamura… very accommodating ng seller. Hiyang talaga skin ko sa dermorepubliq,0,0,0,0,1
"ok naman po siya. kumpleto ang dumating walang sira, hindi lang kc gnito ung inexpect ko pero ok n dn hehe. salamat salamat salamat salamat salamat",0,0,1,0,0
Ang order ko tatlo pero ang dumating isa lng. Walang reply ang seller. Walang paki ang seller,1,0,0,0,0
Not satisfied kasi naka angat ang sticker pati yung handle ng zipper naaalis din kaya tuluyan ng nawala. Malaki yung compartment,1,0,0,0,0
ok namn po sya kaso maling color sa isa next time kung ano dapat kulay na order yun dapat ipadala. thanks. Godbless,0,0,0,1,0
"sace lady, ano to joke time? bat focallure dumating sakin. ipang gigift ko pa naman sa girlfriend ko.",1,0,0,0,0
Grabe naman to seller butas dineliver mo sa order ko! Wag na kayo bibili dito guys sayang lg sa peraaaaaa,1,0,0,0,0
Ito na yung lagi kong binibili since maganda yung quality! Thank you seller!,0,0,0,0,1
"Ibang color yong order ko peo ito yong dumating 3 pa ang yellow na d ko nman na order, anu bayan",0,1,0,0,0
Ok nmn mga boss Kaso lng iba and Ang kulay na na received maroon black sana po check din po salamat shoppe.,0,0,1,0,0
Hype lang siya sa tiktok pero hindi siya water proof or smudgeproof for the clout lang ata mga tao sa tiktok basta maka benta din sila eh.,0,1,0,0,0
Not as expected. kahit ung yougurt q d kayang palamigin. sad.,0,1,0,0,0
Mukha naman nagustuhan ng pinagbigyan ko. Please check JhanisV- HomemakingPH sa tiktok sa reviews ng pan na to. Hassle lang sa hotplate hindi kasama sa nadeliver tho seller informed me ahead of time naman kaso I have to pay the additional shipping fee na almost 200 kasi nga hiwalay na padala. Could’ ve been 5 stars.,0,0,0,1,0
Product arrived broken kahit naka fragile sa packaging. Sayang money,1,0,0,0,0
"Kulang ng isang pair po ang aking na receive, haystt hope next time completo na kc kompleto namn ang ibinabayad",0,1,0,0,0
D pantay ung length sa right side and left side. D po ako satisfied sosad. Tas ang ikli pa.,0,1,0,0,0
"Maganda yung item, di masasayang ang pera mo, sa mga nag dududa pa jan i recommend this shop ayos na ayos",0,0,0,0,1
"Ang order ko po ay sinturon, Belt"" ang dumating ay wallet, ang layo nmn but thanks na din, luma na din wallet ko,",1,0,0,0,0
Super nice and gumagana siya sa phone ko. good quality worth it sa price! and i think gaganahan ako mag notes sa klase jdjdjs,0,0,0,0,1
"Maganda sya pero may kulang na isang product, pero it' s okay. Thank u!",0,0,0,1,0
Madaya kayo! Malinaw sa receipt na Black ang order ko! Ang Dumating Pinkpano ko masusuot to. Naka return item pero walang Rider nyo ang dumating! Nanloloko kayo palitan nyo ang item nato! Sayang ang pera sa ginagawa nyo!,1,0,0,0,0
"Ok naman po medyo malapad lang un strap tinahian ko nlang un tapat ng kilikili but all in all perfect right now I am using pang halili sa back brace galing Ortho thank you rin sa rider kahit malakas ulan dinilivered nya. 10star sa Inyo at sa rider, God bless",0,0,0,0,1
ok lang for it' s price Yung mga items. ang akin lang is Yung very poor packaging. when I receive the parcel Yung mga damit ay sumisilip na. butas Yung parcel dinoble nyo nlng sana Yung packaging nya. at least mabutas man Yung Isang packaging nya. may isang packaging pa sa loob. di sana marumihan Yung damit. dun Naman sa loob ng packaging diman lang tinupi. kaya ang gusot ng mga damit. shaple na pagkalagay. Yan lang concern ko. gusot na gusot talaga yung mga damit. sana tinupi nyo para di gusot. basta nyo nlng nilagay sa Isang packaging and diman lang dinobli Ayan tuloy pag received ko butas at nakasilip Yung mga damit. pang ilan ko Ng order dito. nag remarks pa ako na ayusin ang packaging kasi I always recieve na butas Yung parcel. nakasilip na Yung mga damit.,0,0,0,1,0
I hate this shop. I' ve already chat the shop but still no one cares it all they reply is all agent is busy at the moment. Nakaka bwesit dalawang bottle puro leak halos kalahati natira sa isa. Akala ko makaka save aku kasi nga naka sale. Tas nung dumating sakin yan. Sobrang disappointed aku.,1,0,0,0,0
"Magrarate na lang ako since hindi ko na naibalik ang product. Nakakadismaya, hindi ko alam bakit mag- sale sila tapos ganitong product ipapadala sau. Sabi ko nga wala ako time bumili sa labas kaya online ako nabili tapos magsosoli ako ng product? Wala akong time. Hindi na sealed tape lang tapos ung isa damaged pa",1,0,0,0,0
